Feature,MI_Score
PM25_lag_1,1.081941283297211
PM25_roll_7,1.0533424225645796
PM25_roll_14,0.9328573611009299
PM25_roll_30,0.8193971164651979
PM25_lag_3,0.7754443229543684
AQI_lag_1,0.6972374665780272
PM25_lag_7,0.6599191321478317
DayOfYear,0.36356774901144373
NO2,0.3575065008699774
Temperature,0.3486518855145322
CO,0.33802717660922976
doy_cos,0.25513600069234066
Month,0.23473376442825167
Precipitation,0.23037589952804982
doy_sin,0.20470000828973856
Humidity,0.19296955207238797
month_cos,0.18001624451051823
SO2,0.17681018568530238
Year,0.13633018518186013
Is_Monsoon,0.11830804393936845
Is_Delhi,0.11705547298019425
Wind_Speed,0.11170478062484257
month_sin,0.08816034435313957
Is_Winter,0.07752560471649339
Is_PostMonsoon,0.026028845923141475
DayOfWeek,0.008685815137289499
dow_sin,0.005116697076970489
dow_cos,0.004231598294242023
Is_Weekend,0.00160409380399118
