Feature,Mean_SHAP
PM25_roll_7,29.741531
PM25_lag_1,21.015518
CO,4.505501
PM25_lag_3,3.7420971
AQI_lag_1,3.1296647
pollutant_PC1,2.980728
PM25_roll_14,2.9328427
PM25_lag_7,2.187031
doy_sin,1.973768
NO2,1.3601108
DayOfYear,1.3185686
Temperature,1.2336724
PM25_roll_30,1.1798815
Wind_Speed,0.9169644
doy_cos,0.84768385
pollutant_PC3,0.6658128
Year,0.63511205
pollutant_PC7,0.53037155
pollutant_PC2,0.2933384
Is_Delhi,0.2187908
pollutant_PC4,0.2184609
SO2,0.21243252
pollutant_PC5,0.15686084
pollutant_PC6,0.15554313
Humidity,0.09946486
Month,0.0731346
Precipitation,0.06981943
month_cos,0.06302777
month_sin,0.03348737
Is_Winter,0.021991268
Is_Monsoon,0.0068474794
