station_name,city,avg_pm25,avg_aqi,num_readings
DL002,Delhi,144.9,330.06,1916
DL015,Delhi,128.17,260.38,882
DL038,Delhi,127.52,270.99,882
DL020,Delhi,122.43,267.92,730
DL032,Delhi,122.38,252.67,882
DL005,Delhi,121.02,252.32,729
DL034,Delhi,117.83,252.14,1337
DL031,Delhi,116.94,242.75,1916
DL024,Delhi,116.82,236.95,882
DL006,Delhi,115.38,227.57,854
DL028,Delhi,115.08,274.35,1913
DL008,Delhi,113.83,230.48,2009
DL003,Delhi,113.39,238.19,882
DL021,Delhi,112.36,237.72,2009
DL023,Delhi,109.82,236.76,882
DL007,Delhi,109.42,231.45,2009
DL014,Delhi,108.05,218.15,2007
DL025,Delhi,107.02,231.14,1036
DL037,Delhi,106.88,234.27,882
DL001,Delhi,106.82,217.56,599
DL033,Delhi,105.16,222.11,2009
DL035,Delhi,104.12,225.27,882
DL013,Delhi,104.06,219.11,2009
DL010,Delhi,103.39,260.4,882
DL019,Delhi,101.35,217.43,1911
DL026,Delhi,100.39,217.36,882
DL016,Delhi,97.49,218.84,882
DL011,Delhi,97.28,207.76,1553
KA005,Bengaluru,97.28,140.16,1696
KA010,Bengaluru,97.28,120.03,1699
DL029,Delhi,97.01,214.08,730
DL027,Delhi,94.14,202.5,882
DL018,Delhi,92.76,208.79,882
DL012,Delhi,92.07,203.77,1036
DL017,Delhi,91.57,199.82,1029
DL004,Delhi,89.45,193.39,1029
DL022,Delhi,86.58,204.17,882
DL036,Delhi,85.27,197.7,730
DL030,Delhi,84.69,187.06,1030
DL009,Delhi,83.62,204.66,882
KA009,Bengaluru,50.49,116.19,2009
KA003,Bengaluru,44.6,121.34,2009
KA002,Bengaluru,41.12,98.44,905
KA004,Bengaluru,40.63,104.43,738
KA008,Bengaluru,38.46,105.47,738
KA011,Bengaluru,34.37,101.62,734
KA006,Bengaluru,33.86,90.67,738
KA007,Bengaluru,32.55,95.33,730
