city,month,season,avg_pm25
Bengaluru,1,Winter,66.5
Bengaluru,2,Winter,64.06
Bengaluru,3,Spring,64.67
Bengaluru,4,Spring,62.48
Bengaluru,5,Spring,56.74
Bengaluru,6,Monsoon,49.95
Bengaluru,7,Monsoon,47.56
Bengaluru,8,Monsoon,46.37
Bengaluru,9,Monsoon,47.78
Bengaluru,10,Post-Monsoon,56.34
Bengaluru,11,Post-Monsoon,60.95
Bengaluru,12,Winter,64.57
Delhi,1,Winter,171.38
Delhi,2,Winter,123.8
Delhi,3,Spring,83.69
Delhi,4,Spring,80.27
Delhi,5,Spring,83.42
Delhi,6,Monsoon,71.15
Delhi,7,Monsoon,58.09
Delhi,8,Monsoon,54.13
Delhi,9,Monsoon,59.34
Delhi,10,Post-Monsoon,123.54
Delhi,11,Post-Monsoon,200.7
Delhi,12,Winter,194.72
