Station,City,Baseline_PM25,Simulated_PM25,PM25_Change_Pct,TPE,Sensitivity,N_Records
DL006,Delhi,112.18,100.78,-10.16,0.508,High,854
KA010,Bengaluru,96.52,86.79,-10.08,0.504,High,1699
DL022,Delhi,82.37,74.15,-9.97,0.499,Medium,882
DL017,Delhi,89.79,80.9,-9.9,0.495,Medium,1029
DL021,Delhi,108.71,98.0,-9.85,0.492,Medium,2009
DL012,Delhi,92.14,83.21,-9.69,0.485,Medium,1036
DL013,Delhi,102.87,93.05,-9.54,0.477,Medium,2009
DL030,Delhi,85.08,76.96,-9.54,0.477,Medium,1030
DL032,Delhi,116.14,105.05,-9.54,0.477,Medium,882
DL035,Delhi,101.54,91.93,-9.46,0.473,Medium,882
DL025,Delhi,106.59,96.57,-9.41,0.47,Medium,1036
DL019,Delhi,101.68,92.13,-9.39,0.47,Medium,1911
DL004,Delhi,88.95,80.61,-9.37,0.469,Medium,1029
DL027,Delhi,90.14,81.73,-9.33,0.467,Medium,882
DL023,Delhi,107.11,97.2,-9.25,0.463,Medium,882
DL001,Delhi,105.35,95.76,-9.1,0.455,Medium,599
DL015,Delhi,130.51,118.72,-9.03,0.452,Medium,882
DL007,Delhi,108.02,98.28,-9.02,0.451,Medium,2009
DL036,Delhi,85.03,77.41,-8.96,0.448,Medium,730
DL005,Delhi,119.81,109.13,-8.92,0.446,Medium,729
DL003,Delhi,111.66,101.78,-8.84,0.442,Medium,882
DL038,Delhi,127.29,116.23,-8.69,0.435,Medium,882
DL024,Delhi,115.69,105.67,-8.66,0.433,Medium,882
DL008,Delhi,111.33,101.7,-8.65,0.432,Medium,2009
DL026,Delhi,101.34,92.63,-8.59,0.43,Medium,882
DL033,Delhi,105.29,96.29,-8.56,0.428,Medium,2009
DL014,Delhi,107.77,98.56,-8.55,0.427,Medium,2007
DL034,Delhi,117.75,107.82,-8.43,0.421,Medium,1337
DL031,Delhi,121.34,111.24,-8.33,0.416,Medium,1916
DL037,Delhi,107.46,98.64,-8.21,0.41,Medium,882
DL020,Delhi,120.49,110.68,-8.14,0.407,Medium,730
DL009,Delhi,85.6,78.67,-8.09,0.405,Medium,882
DL010,Delhi,103.09,94.8,-8.04,0.402,Medium,882
DL029,Delhi,103.65,95.41,-7.95,0.398,Medium,730
KA005,Bengaluru,97.19,89.55,-7.87,0.393,Medium,1696
DL016,Delhi,102.56,94.56,-7.8,0.39,Medium,882
DL018,Delhi,97.53,89.94,-7.79,0.389,Medium,882
DL002,Delhi,148.85,137.53,-7.6,0.38,Medium,1916
DL028,Delhi,117.42,108.76,-7.38,0.369,Medium,1913
KA011,Bengaluru,35.38,32.77,-7.37,0.368,Medium,734
KA002,Bengaluru,40.31,37.37,-7.29,0.364,Medium,905
KA009,Bengaluru,50.46,46.8,-7.25,0.362,Medium,2009
KA006,Bengaluru,34.46,31.97,-7.22,0.361,Medium,738
KA007,Bengaluru,33.64,31.28,-7.02,0.351,Medium,730
KA004,Bengaluru,42.0,39.1,-6.9,0.345,Medium,738
KA008,Bengaluru,40.58,37.83,-6.77,0.339,Medium,738
DL011,Delhi,97.83,91.27,-6.7,0.335,Medium,1553
KA003,Bengaluru,45.71,42.85,-6.27,0.313,Medium,2009
